"id","name","code","account_type","reconcile","currency_id","tag_ids","name@zh_CN"
"mjb_l10n_cn_20050000","Accrued Expense","20050000","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","预提费用"
"mjb_l10n_cn_20110000","Deposit taking","20110000","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","吸收存款"
"mjb_l10n_cn_20120000","Due to placements with banks and other financial Institutions","20120000","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","同业存放"
"mjb_l10n_cn_20210000","Discounting liabilities","20210000","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","贴现负债"
"mjb_l10n_cn_21010000","Trading financial liabilities","21010000","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","交易性金融负债"
"mjb_l10n_cn_21110000","Sold under repurchase financial assets","21110000","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","卖出回购金融资产款"
"mjb_l10n_cn_22010000","Notes payable","22010000","liability_payable","True","base.CNY","mjb_l10n_cn.mjb_data_account_tag_notes_payable","应付票据"
"mjb_l10n_cn_22020000","Account payables (AP)","22020000","liability_payable","True","base.CNY","mjb_l10n_cn.mjb_data_account_tag_payable","应付账款"
"mjb_l10n_cn_22020100","AP - Group","22020100","liability_payable","True","base.CNY","mjb_l10n_cn.mjb_data_account_tag_payable","应付账款 - 集团内"
"mjb_l10n_cn_22020200","AP - on services","22020200","liability_payable","True","base.CNY","mjb_l10n_cn.mjb_data_account_tag_payable","应付账款 - 服务费"
"mjb_l10n_cn_22020300","AP - on tangible assets purchased","22020300","liability_payable","True","base.CNY","mjb_l10n_cn.mjb_data_account_tag_payable","应付账款 - 固定资产"
"mjb_l10n_cn_22020400","AP - on non received invoices","22020400","liability_payable","True","base.CNY","mjb_l10n_cn.mjb_data_account_tag_payable","应付账款 - 未收到发票"
"mjb_l10n_cn_22030000","Advance from Customers","22030000","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","预收账款"
"mjb_l10n_cn_22030100","Advance from Customers- on service","22030100","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","预收账款-服务费"
"mjb_l10n_cn_22040000","Cash advanced from staff","22040000","liability_payable","True","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","员工预收"
"mjb_l10n_cn_22110000","Staff payables","22110000","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","应付职工薪酬"
"mjb_l10n_cn_22110100","Staff payable","22110100","liability_current","True","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","应付职工薪酬 - 应付工资"
"mjb_l10n_cn_22110200","SP - Annual bonus","22110200","liability_current","True","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","应付职工薪酬 - 年终奖"
"mjb_l10n_cn_22110300","SP - Advanced bonus","22110300","liability_current","True","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","应付职工薪酬 - 提前奖金"
"mjb_l10n_cn_22110400","Staff payable - SI","22110400","liability_current","True","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","应付职工薪酬 - 应付社保 (个人)"
"mjb_l10n_cn_22110500","Staff payable - HAF","22110500","liability_current","True","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","应付职工薪酬 - 应付公积金 (个人)"
"mjb_l10n_cn_22110600","State payable - SI","22110600","liability_current","True","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","应付职工薪酬 - 应付社保 (公司）"
